dataset,variant,seed,finished_epochs,var_id
CIFAR10,20,39,14,0
CIFAR10,30,0,-1,1
CIFAR10,30,1,-1,1
CIFAR10,30,2,-1,1
CIFAR10,30,3,-1,1
CIFAR10,30,4,-1,1
CIFAR10,30,5,-1,1
CIFAR10,30,6,-1,1
CIFAR10,30,7,-1,1
CIFAR10,30,8,-1,1
CIFAR10,30,9,-1,1
CIFAR10,30,10,-1,1
CIFAR10,30,11,-1,1
CIFAR10,30,12,-1,1
CIFAR10,30,13,-1,1
CIFAR10,30,14,-1,1
CIFAR10,30,15,-1,1
CIFAR10,30,16,-1,1
CIFAR10,30,17,-1,1
CIFAR10,30,18,-1,1
CIFAR10,30,19,-1,1
CIFAR10,30,20,-1,1
CIFAR10,30,21,-1,1
CIFAR10,30,22,-1,1
CIFAR10,30,23,-1,1
CIFAR10,30,24,-1,1
CIFAR10,30,25,-1,1
CIFAR10,30,26,-1,1
CIFAR10,30,27,-1,1
CIFAR10,30,28,-1,1
CIFAR10,30,29,-1,1
CIFAR10,30,30,-1,1
CIFAR10,30,31,-1,1
CIFAR10,30,32,-1,1
CIFAR10,30,33,-1,1
CIFAR10,30,34,-1,1
CIFAR10,30,35,-1,1
CIFAR10,30,36,-1,1
CIFAR10,30,37,-1,1
CIFAR10,30,38,-1,1
CIFAR10,30,39,-1,1
CIFAR10,30,40,-1,1
CIFAR10,30,41,-1,1
CIFAR10,30,42,-1,1
CIFAR10,30,43,-1,1
CIFAR10,30,44,-1,1
CIFAR10,30,45,-1,1
CIFAR10,30,46,-1,1
CIFAR10,30,47,-1,1
CIFAR10,30,48,-1,1
CIFAR10,30,49,-1,1
CIFAR10,44,20,0,2
CIFAR10,44,24,0,2
CIFAR10,44,26,0,2
CIFAR10,44,27,16,2
CIFAR10,44,28,0,2
CIFAR10,44,30,0,2
CIFAR10,44,34,0,2
CIFAR10,44,35,0,2
CIFAR10,44,40,0,2
CIFAR10,44,41,0,2
CIFAR10,44,42,0,2
CIFAR10,44,45,0,2
CIFAR10,44,47,0,2
CIFAR10,44,49,0,2
